カテゴリ,Oh my teeth,インビザライン,キレイライン矯正,ゼニュム,ウィスマイル
コスパ（タイトル1）,表参道の美しい立地で3D体験！,世界実績で一生安心の投資！,初回2.2万円でリスク軽減！,追加費用なし32.45万円！,"月額1,760円で夢が叶う！"
コスパ（内容1）,LINEで簡単に予約ができ、表参道の美しい場所で無料で歯のスキャンをしてもらいました！とてもスムーズで、待ち時間も長くなく、スキャンも簡単で実際に3Dで見ることができました！表参道という立地も素敵で、美容意識の高い女性にぴったりです。,世界中で実績のあるインビザラインなら、多少費用が高くても安心です。一生ものの歯並びを考えれば、品質の高い治療を受ける価値は十分にあります。,初回2.2万円という手軽さで矯正を始められました。効果を実感してから続けるか決められるので、リスクが少なくて安心です。,料金が一律32.45万円で分かりやすく、追加費用の心配がありません。他院のように症例によって値段が変わることがないので、安心して始められました。,"月額1,760円という手軽さで矯正を始められるのは驚きです。お小遣いの範囲で歯並びを改善できるなんて、学生や若い社会人には本当にありがたいです。"
コスパ（タイトル2）,理想の歯並びが3Dで見える感動！,世界基準の精密治療で安心！,学生も安心の都度払いシステム！,グローバル実績25万人の信頼！,あなたに最適な治療プラン！
コスパ（内容2）,Oh歯の治療を受けて、ここで再度スキャンを受けました（前回は新宿でした）。スタッフの温かいホスピタリティは相変わらず素晴らしかったです。矯正シミュレーションを見た後、将来の歯並びにワクワクしました。未来の美しい自分を想像できて感動しました。,他の安い矯正で失敗した友人を見ていたので、最初からインビザラインを選びました。精密な治療計画で確実に結果が出るので、結果的にコスパは良いと思います。,一括で大きな金額を払う必要がなく、都度払いで自分のペースで治療を進められます。経済的な負担が少なく、学生の私でも続けられています。,世界中で25万人以上が利用している実績があり、この価格でこの品質なら十分コスパが良いと思います。海外の技術を日本で受けられるのは魅力的です。,1回から24回まで治療回数を選べるので、自分の症状と予算に合わせて調整できます。無駄な治療をせずに済むので、コスパが良いです。
コスパ（タイトル3）,質問で不安が安心に変わった！,美容代感覚で分割可能！,10万円で完了！コスパ最高！,一括不要で負担軽減！,初診料無料で気軽にスタート！
コスパ（内容3）,自分の歯の形を3Dで見るのは楽しかったです。自分の目でしっかりと見ることで、矯正治療の目標について考える機会を得ました。スタッフの方もとても丁寧でした。質問にも一つ一つ答えてくださり、不安が安心に変わりました。心の変化が人生を変える第一歩でした。,月々の分割払いができるので、一括で大きな金額を用意する必要がありません。毎月の美容代と考えれば、決して高くない投資だと感じています。,前歯の軽度な歪みだけだったので、10万円程度で治療が完了しました。他院では50万円以上と言われていたので、コスパは最高です。,分割払いで月々の負担を抑えられるので、無理なく治療を続けられます。一括で大きな金額を用意する必要がないのは助かります。,初診料が無料なので、気軽にカウンセリングを受けられました。他院では数千円かかるところが多いので、この点は非常にありがたいです。
スタッフ（タイトル1）,清潔で素晴らしい対応！,認定医の高い技術力！,親しみやすくリラックス！,温かく親身なカウンセリング！,押し付けない親切対応！
スタッフ（内容1）,スキャンして初めて自分の歯を3Dで見ました。少し恥ずかしい気持ちもありましたが、矯正したい気持ちにもなりました！皆さん丁寧で清潔で、素晴らしかったです！スタッフの皆さんの対応が本当に素晴らしく、女性として安心して通えます。,担当医師がインビザライン認定医で、豊富な経験と知識を持っています。複雑な症例でも的確な治療計画を立ててくれるので、安心して任せられます。,スタッフの皆さんが若くて親しみやすく、気軽に質問や相談ができます。堅苦しくない雰囲気で、リラックスして治療を受けられます。,カウンセリングでは時間をかけて丁寧に説明してくれて、不安な点も親身に聞いてくれました。スタッフの対応が温かく、安心して相談できました。,カウンセリングでは時間をかけて丁寧に説明してくれて、治療の選択肢も複数提示してくれました。押し付けがましくなく、親切な対応でした。
スタッフ（タイトル2）,女性の不安に寄り添ってくれる！,2時間の丁寧なカウンセリング！,分かりやすい説明で安心！,専門知識豊富で信頼！,統一された高品質サービス！
スタッフ（内容2）,自分の歯の形を3Dで見るのは楽しかったです。自分の目でしっかりと見ることで、矯正治療の目標について考える機会を得ました。スタッフの方もとても丁寧でした。質問にも一つ一つ答えてくださり、不安が安心に変わりました。女性の不安に寄り添ってくれる姿勢が素晴らしいです。,初回カウンセリングで2時間近くかけて詳しく説明してくれました。治療のメリット・デメリットも包み隠さず話してくれて、信頼できると感じました。,治療の流れや期間、費用について分かりやすく説明してくれました。不安な点も親身に聞いてくれて、安心して治療を始めることができました。,ゼニュムの治療について詳しく説明してくれて、他の矯正方法との違いも分かりやすく教えてくれました。専門知識が豊富で信頼できます。,提携医院での治療でしたが、ウィスマイルの研修を受けたスタッフが対応してくれて、統一された高品質なサービスを受けられました。
スタッフ（タイトル3）,痛みなく快適な治療！,患者第一の寄り添い姿勢！,どこでも同じ品質サービス！,予算に合わせた最適提案！,希望を最優先の治療計画！
スタッフ（内容3）,マウスピース矯正なので、スキャンと歯削りで通うだけですが、親切に対応してくださり、皆さんフレンドリーで素敵な方々です。痛みや不快感もなく、内装も清潔で快適です。女性にとって痛みのない治療は本当にありがたいです。,毎回の通院で進捗を丁寧にチェックしてくれて、不安なことがあれば親身に相談に乗ってくれます。患者のことを第一に考えてくれる姿勢が伝わってきます。,提携医院での治療でしたが、キレイラインの研修を受けたスタッフが対応してくれて、どこでも同じ品質のサービスを受けられました。,無理に高額なプランを勧めることなく、私の希望や予算に合わせて最適な治療計画を提案してくれました。患者ファーストの姿勢が好印象です。,治療期間や予算について相談したところ、私の希望を最優先に考えて治療計画を立ててくれました。患者の立場に立った対応が印象的でした。
サポート（タイトル1）,人生を変える転機になった！,専門医の定期チェックで安心！,デジタル充実で使いやすい！,24時間いつでもサポート！,明朗会計で追加費用なし！
サポート（内容1）,自分の歯の形を3Dで見るのは楽しかったです。自分の目でしっかりと見ることで、矯正治療の目標について考える機会を得ました。スタッフの方もとても丁寧でした。質問にも一つ一つ答えてくださり、不安が安心に変わりました。この体験が人生を変える転機になりました。,月1回の定期チェックで、歯の動きや装置の状態を専門医がしっかり確認してくれます。問題があれば即座に対応してもらえるので安心です。,専用アプリで治療の進捗を管理できて、次回の予約も簡単に取れます。デジタルツールが充実していて、現代的で使いやすいです。,専用アプリで治療の進捗を管理でき、質問や相談も24時間いつでもできます。レスポンスも早く、安心して治療を続けられます。,治療中の調整料や保定期間の管理料が無料なので、追加費用を気にせずに治療を続けられます。明朗会計で安心です。
サポート（タイトル2）,人生の新しい章が始まった！,休日でも24時間対応で安心！,LINEで気軽に相談可能！,写真送信で通院回数減！,患者事情を理解して柔軟対応！
サポート（内容2）,スキャンして初めて自分の歯を3Dで見ました。少し恥ずかしい気持ちもありましたが、矯正したい気持ちにもなりました！皆さん丁寧で清潔で、素晴らしかったです！この体験が新しい自分への第一歩となり、人生の新しい章が始まりました。,装置が壊れた時も、24時間対応の緊急ダイヤルですぐに相談できました。休日でも適切な対応をしてもらえて、本当に助かりました。,治療中の疑問や不安をLINEで気軽に相談できます。返信も早く、専門スタッフが丁寧に答えてくれるので心強いです。,定期的に歯の写真をアプリで送信するだけで、専門医がチェックしてくれます。通院回数を減らしながらも、適切な管理を受けられて便利です。,仕事の都合で治療期間を調整したいと相談したところ、柔軟に対応してくれました。患者の事情を理解してくれる姿勢がありがたいです。
サポート（タイトル3）,めっちゃ感動！人生観が変化！,長期視点でケアしてくれる！,希望に合わせて調整可能！,追加費用なしで完了まで！,最短3ヶ月で結果実感！
サポート（内容3）,Oh my teeth有楽町矯正歯科に行ってきたのですが、めっちゃ体験がよく感動しました！LINE公式アカウントで事前に問診票の記入ができて、それぞれでスキャンしてくれるのでスムーズで良かったです。この感動的な体験が人生観を変えるきっかけになりました。,矯正完了後も定期的にメンテナンスをしてくれて、歯並びの維持をサポートしてくれます。長期的な視点でケアしてもらえるのは心強いです。,当初の予定より少し治療が必要になりましたが、柔軟に追加治療に対応してくれました。患者の希望に合わせて調整してくれるのがありがたいです。,治療が予定通り進まない場合でも、完了まで責任を持ってサポートしてくれます。追加費用なしで対応してもらえるのは安心です。,最短3ヶ月で治療が完了し、想像以上に早く結果を実感できました。短期間で効果が出るので、モチベーションを維持しやすいです。
