項目,目的・注意事項,ディオクリニック,エミナルクリニック,ウララクリニック,リエートクリニック,湘南美容クリニック,DSクリニック
クリニック名,正式名称を使用,ディオクリニック,エミナルクリニック,ウララクリニック,リエートクリニック,湘南美容クリニック,DSクリニック
クリニックコード,英字3-5文字の略称,dio,eminal,urara,lieto,sbc,dsc
遷移先URL（1位）,1位表示時の遷移先URL,https://sss.ac01.l-ad.net/cl/p1a64143O61e70f7/?bid=a6640dkh37648h88,https://eminal-clinic.jp/,https://uraraclinic.jp/lp/,https://lietoclinic.com/lpbot/,https://sbc-clinic.jp/,https://dsclinic.jp/
遷移先URL（2位）,2位表示時の遷移先URL,https://sss.ac01.l-ad.net/cl/p1a64143O61e70f7/?bid=a6640dkh37648h88,https://eminal-clinic.jp/,https://uraraclinic.jp/lp/,https://lietoclinic.com/lpbot/,https://sbc-clinic.jp/,https://dsclinic.jp/
遷移先URL（3位）,3位表示時の遷移先URL,https://sss.ac01.l-ad.net/cl/p1a64143O61e70f7/?bid=a6640dkh37648h88,https://eminal-clinic.jp/,https://uraraclinic.jp/lp/,https://lietoclinic.com/lpbot/,https://sbc-clinic.jp/,https://dsclinic.jp/
遷移先URL（4位）,4位表示時の遷移先URL,https://sss.ac01.l-ad.net/cl/p1a64143O61e70f7/?bid=a6640dkh37648h88,https://eminal-clinic.jp/,https://uraraclinic.jp/lp/,https://lietoclinic.com/lpbot/,https://sbc-clinic.jp/,https://dsclinic.jp/
遷移先URL（5位）,5位表示時の遷移先URL,https://sss.ac01.l-ad.net/cl/p1a64143O61e70f7/?bid=a6640dkh37648h88,https://eminal-clinic.jp/,https://uraraclinic.jp/lp/,https://lietoclinic.com/lpbot/,https://sbc-clinic.jp/,https://dsclinic.jp/
総合評価,比較表の総合評価スコア,4.9,4.1,4.5,4.3,3.8,4.4
クリニックロゴ画像パス,各クリニックのロゴ画像パス,/images/clinics/dio/dio-logo.webp,"/images/clinics/eminal/eminal-logo.webp",/images/clinics/urara/urara-logo.webp,/images/clinics/lieto/lieto-logo.webp,/images/clinics/sbc/sbc-logo.webp,/images/clinics/dsc/dsc-logo.webp
