項目名,説明,値
サイトロゴ,ヘッダーロゴテキスト,美容医療おすすめ比較.com
MV画像パス,メインビジュアルの背景画像,./images/injection-MV.webp
MVアピールテキスト1,メインビジュアルの左側テキスト,コスパ
MVアピールテキスト2,メインビジュアルの右側テキスト,通いやすさ
MVSVGテキスト1,メインビジュアルの大きなSVGテキスト,糸リフト
MVSVGテキスト2,メインビジュアルの小さなSVGテキスト,人気クリニック{{RANK_COUNT}}選
ランキングバナー画像パス,ランキングセクションのバナー画像,/images/ranking_header_banner.webp
ランキング地域名テキスト,ランキングセクション上部の地域名に続くテキスト,で人気の糸リフトはココ！
Tipsタブ1タイトル,Tipsセクションの1つ目のタブ,期間と効果
Tips1内容,Tips1の説明文,糸リフトは<deco>切らずにリフトアップ</deco>を目指す施術。皮下に極細の糸を挿入し、<deco>たるみの引き上げ</deco>と<deco>コラーゲン生成の促進</deco>によるハリ感の向上を期待します。直後から見た目の変化を感じる方もいますが、<deco>数週間〜数ヶ月</deco>かけて質感の変化が現れるケースも。効果や期間は体質や糸の種類、術式により異なります。<br>※自由診療／※効果・期間には個人差があります。
Tips1画像パス,Tips1セクションの画像,/images/coolsculpting/Tips1.webp
Tipsタブ2タイトル,Tipsセクションの2つ目のタブ,リスクと副作用
Tips2内容,Tips2の説明文,主なリスクは<deco>腫れ・内出血・痛み・ひきつれ感</deco>など。<deco>感染や左右差</deco>が生じる可能性もあります。持病・皮膚疾患・金属アレルギー等は事前申告が必要で、適応は医師判断になります。<br>※リスク・副作用は個人差があります。詳しくは医師にご相談ください。
Tips2画像パス,Tips2セクションの画像,/images/coolsculpting/Tips2.webp
Tipsタブ3タイトル,Tipsセクションの3つ目のタブ,選び方のポイント
Tips3内容,Tips3の説明文,糸の<deco>種類（コグ/スムース/可吸収/非吸収）</deco>、<deco>本数</deco>、<deco>挿入方向</deco>、<deco>固定法</deco>、<deco>麻酔方法</deco>、<deco>ダウンタイム</deco>、<deco>費用の内訳</deco>（糸単価/本数/麻酔/再診料）を事前に確認。<deco>症例数</deco>やアフターケアの体制も判断材料になります。
Tips3画像パス,Tips3セクションの画像,/images/coolsculpting/Tips3.webp
比較表タイトル,比較表セクションの見出し,で人気の糸リフト
比較表サブタイトル,比較表のサブタイトル,クリニックを<span class="accent-text">徹底比較</span>
詳細バナー画像パス,詳細セクションのバナー画像,/images/details_header_bannar3.webp
ファビコン画像パス,サイトのファビコン,/images/favicon.png
フッターサイト名,フッターのサイト名,医療ダイエット比較.com
フッターコピーライト,フッターのコピーライト,© 2025 医療ダイエット比較.com
注意事項HTML,詳細セクションの注意事項HTML,"<div class=""main-disclaimer""><span id=""main-arrow"" style=""font-size: 8px; color: rgb(153, 153, 153); transition: transform 0.2s; transform: rotate(180deg);"">▼</span><div id=""main-content"" class=""main-disclaimer-content"" style=""display: block; padding: 5px; background-color: rgb(252, 252, 252); border-right: 1px solid rgb(240, 240, 240); border-bottom: 1px solid rgb(240, 240, 240); border-left: 1px solid rgb(240, 240, 240);""><p>「12ヶ月分 0円」※支払総額193,000円に分割し、12ヶ月分（12回分）の分割金が減額されます。※他キャンペーンとの併用不可※当社指定の信販会社で契約をした方限定※コースのみ契約者適用※契約時の申し出のみ有効。</p></div></div>"
