項目名,説明,値
サイトロゴ,ヘッダーロゴテキスト,医療ダイエット比較.com
MV画像パス,メインビジュアルの背景画像,./images/injection-MV.webp
MVアピールテキスト1,メインビジュアルの左側テキスト,コスパ
MVアピールテキスト2,メインビジュアルの右側テキスト,通いやすさ
MVSVGテキスト1,メインビジュアルの大きなSVGテキスト,GLP-1
MVSVGテキスト2,メインビジュアルの小さなSVGテキスト,人気クリニック{{RANK_COUNT}}選
ランキングバナー画像パス,ランキングセクションのバナー画像,/images/ranking_header_banner.webp
ランキング地域名テキスト,ランキングセクション上部の地域名に続くテキスト,で人気のGLP-1はココ！
Tipsタブ1タイトル,Tipsセクションの1つ目のタブ,期間と効果
Tips1内容,Tips1の説明文,GLP-1（GLP-1受容体作動薬）は<deco>食欲を抑え</deco>、<deco>満腹感を持続</deco>させることで、無理のない減量を目指す医師管理の治療です。初期は食行動の変化が現れやすく、<deco>1〜3ヶ月</deco>で少しずつ体重の変化を感じる方も。<deco>3〜6ヶ月</deco>でより緩やかな減量が進むケースがあり、生活習慣の見直しと併用することで継続しやすくなります。<br>※自由診療／※効果・期間には個人差があります。
Tips1画像パス,Tips1セクションの画像,/images/coolsculpting/Tips1.webp
Tipsタブ2タイトル,Tipsセクションの2つ目のタブ,リスクと副作用
Tips2内容,Tips2の説明文,GLP-1は<deco>吐き気・胃部不快感・便秘/下痢</deco>などの消化器症状が出ることがあります。まれに低血糖リスクや胆嚢系の不調が指摘されるため、既往歴の確認が重要です。<deco>甲状腺髄様癌の既往/家族歴</deco>など禁忌に該当する場合は使用できません。医師の診断のもと、<deco>少量から開始し経過をモニタリング</deco>します。<br>※副作用・適応の可否は医師の診断に基づきます。
Tips2画像パス,Tips2セクションの画像,/images/coolsculpting/Tips2.webp
Tipsタブ3タイトル,Tipsセクションの3つ目のタブ,選び方のポイント
Tips3内容,Tips3の説明文,GLP-1を選ぶなら、<deco>医師の診療・定期モニタリング</deco>と、<deco>生活習慣サポート</deco>（食事/運動指導）が併用できる体制がおすすめ。<deco>投与方法（自己注射/内服）</deco>や<deco>用量調整</deco>の方針、<deco>費用の明確さ</deco>（初期費用・月額・解約条件）も事前に確認を。オンライン/対面のフォローが選べると、継続しやすく安心です。
Tips3画像パス,Tips3セクションの画像,/images/coolsculpting/Tips3.webp
比較表タイトル,比較表セクションの見出し,で人気のGLP-1
比較表サブタイトル,比較表のサブタイトル,クリニックを<span class="accent-text">徹底比較</span>
詳細バナー画像パス,詳細セクションのバナー画像,/images/details_header_bannar3.webp
ファビコン画像パス,サイトのファビコン,/images/favicon.png
フッターサイト名,フッターのサイト名,医療ダイエット比較.com
フッターコピーライト,フッターのコピーライト,© 2025 医療ダイエット比較.com
注意事項HTML,詳細セクションの注意事項HTML,"<div class=""main-disclaimer""><span id=""main-arrow"" style=""font-size: 8px; color: rgb(153, 153, 153); transition: transform 0.2s; transform: rotate(180deg);"">▼</span><div id=""main-content"" class=""main-disclaimer-content"" style=""display: block; padding: 5px; background-color: rgb(252, 252, 252); border-right: 1px solid rgb(240, 240, 240); border-bottom: 1px solid rgb(240, 240, 240); border-left: 1px solid rgb(240, 240, 240);""><p>「12ヶ月分 0円」※支払総額193,000円に分割し、12ヶ月分（12回分）の分割金が減額されます。※他キャンペーンとの併用不可※当社指定の信販会社で契約をした方限定※コースのみ契約者適用※契約時の申し出のみ有効。</p></div></div>"
